request = DwdObservationRequest(
    parameter=[DwdObservationDataset.CLIMATE_SUMMARY, DwdObservationDataset.SOLAR],
    resolution=DwdObservationResolution.DAILY,
    start_date="1990-01-01",
    end_date="2020-01-01",
).filter_by_station_id(station_id=[3, 1048])


"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-11","0.04","0.0","56","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-12","0.05","0.0","63","39"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-13","0.02","0.0","52","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-14","0.00","0.0","48","32"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-15","0.00","0.0","51","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-16","0.00","0.0","60","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-17","0.00","0.0","61","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-18","0.00","0.0","66","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-19","0.00","0.0","64","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-20","0.18","0.0","50","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-21","0.00","0.0","42","27"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-22","0.00","0.0","41","23"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-23","0.00","0.0","42","20"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-24","0.00","0.0","46","19"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-25","0.00","0.0","48","19"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-26","0.00","0.0","53","24"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-27","0.00","0.0","65","28"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-28","0.00","0.0","59","30"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-29","0.06","0.0","45","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-30","0.00","0.0","43","23"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-31","0.00","0.0","41","24"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-01","0.00","0.0","49","22"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-02","0.00","0.0","56","25"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-03","0.00","0.0","52","34"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-04","0.00","0.0","54","32"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-05","0.00","0.0","63","29"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-06","0.00","0.0","72","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-07","0.00","0.0","71","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-08","0.00","0.0","73","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-09","0.00","0.0","68","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-10","0.00","0.0","64","39"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-11","0.00","0.0","63","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-12","0.00","0.0","75","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-13","0.06","0.0","57","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-14","0.00","0.0","49","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-15","0.00","0.0","60","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-16","0.00","0.0","72","33"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-17","0.00","0.0","67","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-18","0.00","0.0","71","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-19","0.00","0.0","61","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-20","0.00","0.0","61","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-21","0.00","0.0","64","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-22","0.00","0.0","67","33"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-23","0.00","0.0","71","34"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-24","0.00","0.0","71","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-25","0.00","0.0","57","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-26","0.00","0.0","64","41"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-27","0.00","0.0","74","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-28","0.00","0.0","78","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-29","0.25","0.0","65","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-30","0.00","0.0","67","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-01","0.00",,"67","48"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-02","0.12",,"58","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-03","0.00",,"60","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-04","0.19",,"64","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-05","0.06",,"54","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-06","0.00",,"61","34"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-07","0.00",,"63","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-08","0.00",,"75","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-09","0.00",,"76","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-10","0.08",,"75","49"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-11","0.52",,"59","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-12","0.00",,"53","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-13","0.00",,"60","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-14","0.00",,"62","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-15","0.00",,"61","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-16","0.00",,"64","39"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-17","0.00",,"65","43"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-18","0.00",,"73","41"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-19","0.00",,"73","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-20","0.00",,"67","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-21","0.00",,"70","41"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-22","0.45",,"72","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-23","0.17",,"65","52"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-24","0.05",,"65","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-25","0.19",,"56","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-26","0.00",,"67","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-27","0.11",,"72","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-28","0.10",,"63","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-29","0.00",,"67","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-30","0.00",,"65","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-05-31","0.00",,"71","49"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-01","0.00",,"76","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-02","0.30",,"76","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-03","0.00",,"78","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-04","0.22",,"74","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-05","0.06",,"66","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-06","0.00",,"68","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-07","0.26",,"61","49"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-08","0.00",,"69","51"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-09","0.00",,"71","55"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-10","0.04",,"67","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-11","0.04",,"76","58"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-12","0.00",,"81","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-13","0.48",,"90","59"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-14","0.14",,"73","59"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-15","0.00",,"79","57"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-16","0.00",,"78","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-17","0.00",,"81","56"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-18","0.04",,"75","62"
"GME00121366","DRESDEN STREHLEN, GM","2020-06-19","0.10",,"67","60"
